"","google_knowledge_occupation","group","year","month","day","imie","nazwisko"
"142","actress","Acting",1999,8,18,"Sarah","Jessica Parker"
"143","actor","Acting",1999,8,19,"French","Stewart"
"144","actress","Acting",1999,8,2,"Bebe","Neuwirth"
"145","actress","Acting",1999,8,23,"Cheryl","Ladd"
"146","rapper","Musician",1999,8,24,"LL","Cool J"
"147","singer-songwriter","Musician",1999,8,25,"Dwight","Yoakam"
"148","actress","Acting",1999,8,26,"Nia","Long"
"149","actor","Acting",1999,8,3,"Garry","Marshall"
"150",NA,NA,1999,8,30,"The","Daily Show Summer Spectacular"
"151","actor","Acting",1999,8,4,"Denis","Leary"
"152","actor","Acting",1999,8,5,"Jeffrey","Tambor"
"153","actor","Acting",1999,8,9,"Dave","Foley"
"154","comedian","Comedy",1999,9,13,"Elayne","Boosler"
"155","actor","Acting",1999,9,14,"Tom","Green"
"156","actor","Acting",1999,9,15,"Jason","Priestley"
"157","stand-up comedian","Comedy",1999,9,16,"David","Cross"
"158","actor","Acting",1999,9,20,"Andy","Richter"
"159","singer","Musician",1999,9,21,"Donny","Osmond Marie Osmond"
"160","comedian","Comedy",1999,9,22,"Dave","Chappelle"
"161","actor","Acting",1999,9,23,"Steve","Zahn"
"162","stand-up comedian","Comedy",1999,9,27,"Norm","Macdonald"
"163","actress","Acting",1999,9,28,"Melissa","Joan Hart"
"164","comedian","Comedy",1999,9,29,"Richard","Lewis"
"165","actor","Acting",1999,9,30,"Bruce","McCulloch and Mark McKinney"
"166","comedian","Comedy",1999,9,30,"Bruce","McCulloch and Mark McKinney"
"167","football player","Athletics",2000,1,10,"Joe","Montana"
"168","actor","Acting",2000,1,11,"Will","Ferrell"
"169","rapper","Musician",2000,1,12,"Ice","Cube"
"170","singer-lyricist","Musician",2000,1,13,"Michael","Stipe"
"171","actress","Acting",2000,1,17,"Penelope","Ann Miller"
"172","actor","Acting",2000,1,18,"Frankie","Muniz"
"173","actor","Acting",2000,1,19,"Freddie","Prinze Jr."
"174","former mayor of cincinatti","Politician",2000,1,20,"Jerry","Springer"
"175","film actress","Acting",2000,1,24,"Selma","Blair"
"176","film actor","Acting",2000,1,25,"Peter","Krause"
"177","model","Media",2000,1,26,"Jenny","McCarthy"
"178","actor","Acting",2000,1,27,"David","Arquette"
"179","actress","Acting",2000,1,4,"Cynthia","Nixon"
"180","singer-songwriter","Musician",2000,1,5,"Robbie","Williams"
"181","stand-up comedian","Comedy",2000,1,6,"Richard","Belzer"
"182","singer-songwriter","Musician",2000,10,16,"Alice","Cooper"
"183","actor","Acting",2000,10,17,"Christian","Slater"
"184","actor","Acting",2000,10,18,"Joshua","Jackson"
"185","actor","Acting",2000,10,19,"Brendan","Fraser"
"186","actor","Acting",2000,10,2,"Dean","Cain"
"187","actor","Acting",2000,10,23,"Kevin","James"
"188","comedian","Comedy",2000,10,24,"Jeff","Garlin"
"189","businesswoman","Business",2000,10,25,"Posh","Spice & Baby Spice"
"190","singer","Musician",2000,10,25,"Posh","Spice & Baby Spice"
"191","actor","Acting",2000,10,26,"Steven","Weber"
"192","actor","Acting",2000,10,3,"Ashton","Kutcher"
"193","actress","Acting",2000,10,30,"Brett","Butler"
"194","journalist","Media",2000,10,31,"David","Frost"
"195","singer-songwriter","Musician",2000,10,4,"Jewel",NA
"196","activist","Advocacy",2000,10,5,"Ralph","Nader"
"197","media person","Media",2000,11,1,"Phil","Donahue"
"198","actor","Acting",2000,11,13,"Adam","Sandler"
"199","actress","Acting",2000,11,14,"Patricia","Arquette"
"200","actor","Acting",2000,11,15,"Adam","Sandler"
"201","actor","Acting",2000,11,16,"Rhys","Ifans"
"202","actor","Acting",2000,11,2,"Michael","Richards"
"203",NA,NA,2000,11,20,"Tales","of Survival with Vance DeGeneres"
"204","actor","Acting",2000,11,27,"John","Goodman"
"205","actress","Acting",2000,11,28,"Laura","San Giacomo"
"206","film actor","Acting",2000,11,29,"Billy","Campbell"
"207","actor","Acting",2000,11,30,"Anthony","Clark"
"208","former us senator","Politician",2000,11,6,"Arlen","Specter"
"209","american politician","Politician",2000,11,7,"Bob","Dole"
"210","stand-up comedian","Comedy",2000,11,8,"Richard","Belzer"
"211","filmmaker","Media",2000,11,9,"Michael","Moore"
"212","radio personality","Media",2000,12,11,"Ira","Glass"
"213","commentator","Media",2000,12,12,"Greta","Van Susteren"
"214",NA,NA,2000,12,13,"no","guest"
"215","journalist","Media",2000,12,14,"Wolf","Blitzer"
"216","actress","Acting",2000,12,18,"Marla","Sokoloff"
"217","actress","Acting",2000,12,19,"Marisa","Tomei"
"218","actress","Acting",2000,12,20,"Jeri","Ryan"
"219","film actress","Acting",2000,12,21,"Gillian","Anderson"
"220","actor","Acting",2000,12,4,"Thomas","Gibson"
"221","actress","Acting",2000,12,5,"Faith","Ford"
"222","actor","Acting",2000,12,6,"Chris","O'Donnell"
"223","actor","Acting",2000,12,7,"Marlon","Wayans"
"224","actor","Acting",2000,2,1,"Jeff","Bridges"
"225","actor","Acting",2000,2,1,"Vin","Diesel"
"226","singer-songwriter","Musician",2000,2,14,"Moby",NA
"227","actor","Acting",2000,2,15,"Dennis","Farina"
"228","actor","Acting",2000,2,16,"Matthew","Perry"
"229","comedian","Comedy",2000,2,17,"Ed","McMahon"
"230","former senator from kansas","Politician",2000,2,2,"Focus","on New Hampshire Special, special guest Bob Dole"
"231","actor","Acting",2000,2,22,"Snoop","Dogg"
"232","actress","Acting",2000,2,23,"Charlize","Theron"
"233","actress","Acting",2000,2,24,"Rachael","Leigh Cook"
"234","actor","Acting",2000,2,28,"Forest","Whitaker"
"235","actor","Acting",2000,2,3,"Jason","Priestly"
"236","actor","Acting",2000,3,1,"Tobey","Maguire"
"237","stand-up comedian","Comedy",2000,3,13,"Eddie","Izzard"
"238","actress","Acting",2000,3,14,"Kim","Delaney"
"239","journalist","Media",2000,3,15,"Wolf","Blitzer"
"240","comedian","Comedy",2000,3,16,"George","Wallace"
"241","comedian","Comedy",2000,3,2,"Ellen","DeGeneres"
"242","actor","Acting",2000,3,20,"Chris","Meloni"
"243","actress","Acting",2000,3,21,"Marla","Sokoloff"
"244","comedian","Comedy",2000,3,22,"Eric","Idle"
"245","film actress","Acting",2000,3,23,"Leelee","Sobieski"
"246","singer-songwriter","Musician",2000,3,27,"John","Lydon"
"247","actor","Acting",2000,3,28,"Joshua","Jackson"
"248","reporter","Media",2000,3,29,"Sam","Donaldson"
"249","actor","Acting",2000,3,30,"Jimmy","Smits"
"250","actor","Acting",2000,3,6,"Neil","Patrick Harris"
"251","actor","Acting",2000,3,7,"Kevin","Pollak"
"252","american politician","Politician",2000,3,8,"Bob","Dole"
"253","comedian","Comedy",2000,3,9,"Garry","Shandling"
"254","singer","Musician",2000,4,10,"Roger","Daltrey"
"255","writer","Media",2000,4,11,"Ben","Stein"
"256","film actor","Acting",2000,4,12,"Patrick","Stewart"
"257","actor","Acting",2000,4,13,"David","Alan Grier"
"258","actor","Acting",2000,4,17,"Stanley","Tucci"
"259","actress","Acting",2000,4,18,"Samantha","Mathis"
"260","professional wrestler","Athletics",2000,4,19,"Diamond","Dallas Page"
"261","former us senator","Politician",2000,4,20,"Arlen","Specter"
"262","publisher","Media",2000,4,24,"Hugh","Hefner and Bentley twins"
"263","model","Media",2000,4,24,"Hugh","Hefner and Bentley twins"
"264","actress","Acting",2000,4,25,"Kirsten","Dunst"
"265","film actress","Acting",2000,4,26,"Jeanne","Tripplehorn"
"266","actor","Acting",2000,4,27,"Stephen","Baldwin"
"267","film actress","Acting",2000,5,1,"S.","Epatha Merkerson"
"268","actor","Acting",2000,5,10,"Andy","Richter"
"269","actress","Acting",2000,5,11,"Betty","White"
"270","television actress","Acting",2000,5,15,"Tracey","Ullman"
"271","actor","Acting",2000,5,16,"Kyle","MacLachlan"
"272","actress","Acting",2000,5,17,"Jane","Leeves"
"273","actor","Acting",2000,5,18,"Michael","Rapaport"
"274","actor","Acting",2000,5,2,"Luke","Wilson"
"275","actress","Acting",2000,5,3,"Julie","Warner"
"276","actress","Acting",2000,5,30,"Laura","Kightlinger"
"277","actress","Acting",2000,5,31,"Thandie","Newton"
"278","actor","Acting",2000,5,4,"Eric","Close"
"279","actress","Acting",2000,5,8,"Wendie","Malick"
"280","actor","Acting",2000,5,9,"Jesse","L. Martin"
"281","reality show contestant","Media",2000,6,1,"Sonja","Christopher"
"282","actor","Acting",2000,6,13,"Mark","Curry"
"283","television host","Media",2000,6,14,"Jimmy","Kimmel & Adam Carolla"
"284","comedian","Comedy",2000,6,14,"Jimmy","Kimmel & Adam Carolla"
"285","actress","Acting",2000,6,15,"Julie","Brown"
"286","writer","Media",2000,6,19,"Heather","Donahue"
"287","former press secretary","Political Aide",2000,6,20,"Joe","Lockhart"
"288","actor","Acting",2000,6,21,"Freddie","Prinze Jr."
"289","actress","Acting",2000,6,22,"Alicia","Silverstone"
"290","comic","Comedy",2000,6,26,"Cheri","Oteri"
"291","game show host","Media",2000,6,27,"Jeff","Probst"
"292","guitarist","Musician",2000,6,28,"Richie","Sambora"
"293","actor","Acting",2000,6,29,"John","C. Reilly"
"294","magician","Media",2000,6,5,"Penn","and Teller"
"295","actress","Acting",2000,6,6,"Kelli","Williams"
"296","filmmaker","Media",2000,6,7,"Michael","Moore"
"297","actress","Acting",2000,7,10,"Anna","Paquin"
"298","actor","Acting",2000,7,11,"J.","K. Simmons"
"299","actress","Acting",2000,7,12,"Famke","Janssen"
